n	Alt	Few	Many	None	Some	File:
8	True	0	2	4	True	data/G-ex-directed

8	True	0	-	4	True	data/G-ex

3	True	1	-	-1	True	data/P3

5757	False	0	-	7	True	data/bht

100	False	-1	-	-1	False	data/common-1-100

1000	False	-1	-	-1	False	data/common-1-1000

1500	False	-1	-	-1	False	data/common-1-1500

20	False	-1	-1	-1	False	data/common-1-20

2000	False	-1	-	-1	False	data/common-1-2000

250	False	-1	-	-1	False	data/common-1-250

2500	False	1	-	7	True	data/common-1-2500

3000	False	1	-	7	True	data/common-1-3000

3500	False	1	-	7	True	data/common-1-3500

4000	False	1	-	7	True	data/common-1-4000

4500	True	1	-	7	True	data/common-1-4500

50	False	-1	-	-1	False	data/common-1-50

500	False	-1	-	-1	False	data/common-1-500

5000	True	1	-	7	True	data/common-1-5000

5757	True	1	-	7	True	data/common-1-5757

100	False	-1	-	-1	False	data/common-2-100

1000	True	1	-	5	True	data/common-2-1000

1500	True	1	-	5	True	data/common-2-1500

20	False	-1	-	-1	False	data/common-2-20

2000	True	1	-	5	True	data/common-2-2000

250	False	-1	-	-1	False	data/common-2-250

2500	True	1	-	5	True	data/common-2-2500

3000	True	1	-	5	True	data/common-2-3000

3500	True	1	-	5	True	data/common-2-3500

4000	True	1	-	5	True	data/common-2-4000

4500	True	1	-	5	True	data/common-2-4500

50	False	-1	-	-1	False	data/common-2-50

500	True	1	-	5	True	data/common-2-500

5000	True	1	-	5	True	data/common-2-5000

5757	True	1	-	5	True	data/common-2-5757

20	False	2	-	2	True	data/dodecahedron

10	False	0	-	2	True	data/gnm-10-15-0

10	True	1	-	2	True	data/gnm-10-15-1

10	False	1	-	4	True	data/gnm-10-20-0

10	True	2	-	4	True	data/gnm-10-20-1

1000	False	1	-	-1	True	data/gnm-1000-1500-0

1000	False	2	-	-1	True	data/gnm-1000-1500-1

1000	False	0	-	8	True	data/gnm-1000-2000-0

1000	False	2	-	-1	True	data/gnm-1000-2000-1

2000	False	0	-	9	True	data/gnm-2000-3000-0

2000	True	2	-	-1	True	data/gnm-2000-3000-1

2000	False	0	-	7	True	data/gnm-2000-4000-0

2000	False	0	-	6	True	data/gnm-2000-4000-1

3000	False	0	-	11	True	data/gnm-3000-4500-0

3000	False	2	-	-1	True	data/gnm-3000-4500-1

3000	False	0	-	7	True	data/gnm-3000-6000-0

3000	False	2	-	7	True	data/gnm-3000-6000-1

4000	False	0	-	8	True	data/gnm-4000-6000-0

4000	False	1	-	16	True	data/gnm-4000-6000-1

4000	False	0	-	6	True	data/gnm-4000-8000-0

4000	True	2	-	7	True	data/gnm-4000-8000-1

5000	False	2	-	6	True	data/gnm-5000-10000-0

5000	True	1	-	6	True	data/gnm-5000-10000-1

